Contest_ID	Pref_Voter_ID	Serial Number	Tally_Type	Precinct_ID	Vote_Rank	CandidateID	Over-Vote	Under_Vote	Vote Rank2	CandID2	OverVote	UnderVote	VoteRank3	CandID3	OverVote	UnderVote
85	77211	143	1	143	1	435	0	0	2	437	0	0	3	436	0	0
85	77212	143	1	143	1	0	0	1	2	0	0	1	3	0	0	1
85	77213	143	1	143	1	433	0	0	2	0	0	1	3	0	0	1
85	77214	143	1	143	1	433	0	0	2	435	0	0	3	437	0	0
85	77215	143	1	143	1	433	0	0	2	437	0	0	3	0	0	1
85	77216	143	1	143	1	0	0	1	2	0	0	1	3	0	0	1
85	77217	143	1	143	1	433	0	0	2	0	0	1	3	0	0	1
85	77218	143	1	143	1	433	0	0	2	437	0	0	3	436	0	0
85	77219	143	1	143	1	433	0	0	2	0	0	1	3	0	0	1
85	77220	143	1	143	1	433	0	0	2	437	0	0	3	434	0	0
85	77221	143	1	143	1	437	0	0	2	436	0	0	3	433	0	0
85	77222	143	1	143	1	435	0	0	2	433	0	0	3	0	0	1
85	77223	143	1	143	1	433	0	0	2	436	0	0	3	435	0	0
85	77224	143	1	143	1	433	0	0	2	0	0	1	3	0	0	1
85	77225	143	1	143	1	433	0	0	2	437	0	0	3	0	0	1
85	77226	143	1	143	1	433	0	0	2	0	0	1	3	0	0	1
85	77227	143	1	143	1	436	0	0	2	437	0	0	3	433	0	0
85	77228	143	1	143	1	435	0	0	2	433	0	0	3	436	0	0
85	77229	143	1	143	1	433	0	0	2	433	0	0	3	433	0	0
85	77230	143	1	143	1	0	0	1	2	0	0	1	3	0	0	1
85	77231	143	1	143	1	433	0	0	2	436	0	0	3	435	0	0
85	77232	143	1	143	1	433	0	0	2	435	0	0	3	436	0	0
85	77233	143	1	143	1	435	0	0	2	433	0	0	3	436	0	0
85	77234	143	1	143	1	433	0	0	2	436	0	0	3	435	0	0
85	77604	142	1	142	1	435	0	0	2	433	0	0	3	437	0	0
85	77605	142	1	142	1	433	0	0	2	436	0	0	3	437	0	0
85	77606	142	1	142	1	435	0	0	2	434	0	0	3	435	0	0
85	77607	142	1	142	1	437	0	0	2	0	0	1	3	0	0	1
85	77608	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77609	142	1	142	1	433	0	0	2	435	0	0	3	437	0	0
85	77610	142	1	142	1	436	0	0	2	435	0	0	3	433	0	0
85	77611	142	1	142	1	435	0	0	2	433	0	0	3	437	0	0
85	77612	142	1	142	1	435	0	0	2	433	0	0	3	0	0	1
85	77613	142	1	142	1	436	0	0	2	435	0	0	3	433	0	0
85	77614	142	1	142	1	433	0	0	2	436	0	0	3	0	0	1
85	77615	142	1	142	1	433	0	0	2	437	0	0	3	436	0	0
85	77616	142	1	142	1	433	0	0	2	0	0	1	3	0	0	1
85	77617	142	1	142	1	433	0	0	2	437	0	0	3	0	0	1
85	77618	142	1	142	1	435	0	0	2	437	0	0	3	433	0	0
85	77619	142	1	142	1	433	0	0	2	435	0	0	3	437	0	0
85	77620	142	1	142	1	435	0	0	2	437	0	0	3	436	0	0
85	77621	142	1	142	1	433	0	0	2	437	0	0	3	435	0	0
85	77622	142	1	142	1	437	0	0	2	433	0	0	3	434	0	0
85	77623	142	1	142	1	433	0	0	2	435	0	0	3	0	0	1
85	77624	142	1	142	1	435	0	0	2	433	0	0	3	437	0	0
85	77625	142	1	142	1	437	0	0	2	435	0	0	3	433	0	0
85	77626	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77627	142	1	142	1	435	0	0	2	0	0	1	3	0	0	1
85	77628	142	1	142	1	436	0	0	2	435	0	0	3	433	0	0
85	77629	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77630	142	1	142	1	433	0	0	2	437	0	0	3	436	0	0
85	77631	142	1	142	1	437	0	0	2	433	0	0	3	436	0	0
85	77632	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77633	142	1	142	1	437	0	0	2	436	0	0	3	0	0	1
85	77634	142	1	142	1	433	0	0	2	435	0	0	3	437	0	0
85	77635	142	1	142	1	433	0	0	2	435	0	0	3	436	0	0
85	77636	142	1	142	1	435	0	0	2	0	0	1	3	0	0	1
85	77637	142	1	142	1	433	0	0	2	437	0	0	3	436	0	0
85	77638	142	1	142	1	433	0	0	2	437	0	0	3	434	0	0
85	77639	142	1	142	1	437	0	0	2	433	0	0	3	0	0	1
